Cement ,Blast Furnace Slag ,Fly Ash ,Water  
540,0,0,162
540,0,0,162
332.5,142.5,0,228
332.5,142.5,0,228
198.6,132.4,0,192
266,114,0,228
380,95,0,228
380,95,0,228
266,114,0,228
475,0,0,228
198.6,132.4,0,192
198.6,132.4,0,192
427.5,47.5,0,228
190,190,0,228
304,76,0,228
380,0,0,228
139.6,209.4,0,192
342,38,0,228
380,95,0,228
475,0,0,228
427.5,47.5,0,228
139.6,209.4,0,192
139.6,209.4,0,192
139.6,209.4,0,192
380,0,0,228
380,0,0,228
380,95,0,228
342,38,0,228
427.5,47.5,0,228
475,0,0,228
304,76,0,228
266,114,0,228
198.6,132.4,0,192
475,0,0,228
190,190,0,228
237.5,237.5,0,228
237.5,237.5,0,228
332.5,142.5,0,228
475,0,0,228
237.5,237.5,0,228
342,38,0,228
427.5,47.5,0,228
237.5,237.5,0,228
380,0,0,228
427.5,47.5,0,228
427.5,47.5,0,228
349,0,0,192
380,95,0,228
237.5,237.5,0,228
380,95,0,228
332.5,142.5,0,228
190,190,0,228
237.5,237.5,0,228
304,76,0,228
139.6,209.4,0,192
198.6,132.4,0,192
475,0,0,228
198.6,132.4,0,192
304,76,0,228
332.5,142.5,0,228
304,76,0,228
266,114,0,228
310,0,0,192
190,190,0,228
266,114,0,228
342,38,0,228
139.6,209.4,0,192
332.5,142.5,0,228
190,190,0,228
485,0,0,146
374,189.2,0,170.1
313.3,262.2,0,175.5
425,106.3,0,153.5
425,106.3,0,151.4
375,93.8,0,126.6
475,118.8,0,181.1
469,117.2,0,137.8
425,106.3,0,153.5
388.6,97.1,0,157.9
531.3,0,0,141.8
425,106.3,0,153.5
318.8,212.5,0,155.7
401.8,94.7,0,147.4
362.6,189,0,164.9
323.7,282.8,0,183.8
379.5,151.2,0,153.9
362.6,189,0,164.9
286.3,200.9,0,144.7
362.6,189,0,164.9
439,177,0,186
389.9,189,0,145.9
362.6,189,0,164.9
337.9,189,0,174.9
374,189.2,0,170.1
313.3,262.2,0,175.5
425,106.3,0,153.5
425,106.3,0,151.4
375,93.8,0,126.6
475,118.8,0,181.1
469,117.2,0,137.8
425,106.3,0,153.5
388.6,97.1,0,157.9
531.3,0,0,141.8
425,106.3,0,153.5
318.8,212.5,0,155.7
401.8,94.7,0,147.4
362.6,189,0,164.9
323.7,282.8,0,183.8
379.5,151.2,0,153.9
362.6,189,0,164.9
286.3,200.9,0,144.7
362.6,189,0,164.9
439,177,0,186
389.9,189,0,145.9
362.6,189,0,164.9
337.9,189,0,174.9
374,189.2,0,170.1
313.3,262.2,0,175.5
425,106.3,0,153.5
425,106.3,0,151.4
375,93.8,0,126.6
475,118.8,0,181.1
469,117.2,0,137.8
425,106.3,0,153.5
388.6,97.1,0,157.9
531.3,0,0,141.8
425,106.3,0,153.5
318.8,212.5,0,155.7
401.8,94.7,0,147.4
362.6,189,0,164.9
323.7,282.8,0,183.8
379.5,151.2,0,153.9
362.6,189,0,164.9
286.3,200.9,0,144.7
362.6,189,0,164.9
439,177,0,186
389.9,189,0,145.9
362.6,189,0,164.9
337.9,189,0,174.9
374,189.2,0,170.1
313.3,262.2,0,175.5
425,106.3,0,153.5
425,106.3,0,151.4
375,93.8,0,126.6
475,118.8,0,181.1
469,117.2,0,137.8
425,106.3,0,153.5
388.6,97.1,0,157.9
531.3,0,0,141.8
425,106.3,0,153.5
318.8,212.5,0,155.7
401.8,94.7,0,147.4
362.6,189,0,164.9
323.7,282.8,0,183.8
379.5,151.2,0,153.9
362.6,189,0,164.9
286.3,200.9,0,144.7
362.6,189,0,164.9
439,177,0,186
389.9,189,0,145.9
362.6,189,0,164.9
337.9,189,0,174.9
374,189.2,0,170.1
313.3,262.2,0,175.5
425,106.3,0,153.5
425,106.3,0,151.4
375,93.8,0,126.6
475,118.8,0,181.1
469,117.2,0,137.8
425,106.3,0,153.5
388.6,97.1,0,157.9
531.3,0,0,141.8
425,106.3,0,153.5
318.8,212.5,0,155.7
401.8,94.7,0,147.4
362.6,189,0,164.9
379.5,151.2,0,153.9
